"url","Vote By Town","Yes","No"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Ware","2,491","1,924"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Montague","2,774","1,613"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","West Boylston","2,084","2,262"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Mattapoisett","2,073","2,200"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","West Bridgewater","2,052","2,108"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Ayer","2,399","1,706"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Groveland","2,089","1,971"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Topsfield","1,750","2,309"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Dighton","2,165","1,863"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Templeton","2,143","1,875"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Adams","2,287","1,714"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lancaster","1,987","1,990"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lincoln","2,088","1,799"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Merrimac","2,136","1,742"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Rowley","1,931","1,927"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Southampton","1,912","1,880"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Harvard","1,958","1,776"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Great Barrington","2,364","1,323"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Eastham","1,876","1,783"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Granby","1,941","1,689"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Berkley","1,974","1,649"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Dover","1,579","2,044"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Manchester","1,814","1,772"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Williamstown","2,160","1,387"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Mendon","1,849","1,690"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hopedale","1,804","1,651"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Shirley","1,997","1,420"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Dalton","1,745","1,671"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Rochester","1,756","1,645"
